[2008Mar18 17:36:38,131][INFO ][main SincronizadorKenanCvpn.java:306][inicio del proceso!!!!!!!!!!!!!]
[2008Mar18 17:36:39,492][INFO ][main SincronizadorKenanCvpn.java:317][No se modifica la BD. Se corre en modo test]
[2008Mar18 17:36:40,510][INFO ][main SincronizadorKenanCvpn.java:324][No se ejecutaran las acciones de borrado de vpns y gsms sobrantes]
[2008Mar18 17:36:41,073][DEBUG][abrirConexionesBD SincronizadorKenanCvpn.java:412][ENTRANDO]
[2008Mar18 17:36:41,089][DEBUG][abrirConexionesBD SincronizadorKenanCvpn.java:416][Consiguio el driver de la BD]
[2008Mar18 17:36:42,268][DEBUG][abrirConexionesBD SincronizadorKenanCvpn.java:423][Creo la conexión hacia Kenan]
[2008Mar18 17:36:42,571][DEBUG][abrirConexionesBD SincronizadorKenanCvpn.java:431][Creo la conexión hacia CVPN]
[2008Mar18 17:36:42,573][DEBUG][abrirConexionesBD SincronizadorKenanCvpn.java:433][SALIENDO]
[2008Mar18 17:36:42,752][DEBUG][sincronizarBDKenanConCvpn SincronizadorKenanCvpn.java:485][Entra]
[2008Mar18 17:36:43,274][INFO ][sincronizarBDKenanConCvpn SincronizadorKenanCvpn.java:499][antes de listaDeCuentasKenan]
[2008Mar18 17:36:44,290][DEBUG][getListaDeCuentasKenan SincronizadorKenanCvpn.java:952][Entra]
[2008Mar18 17:37:25,072][DEBUG][getListaDeCuentasKenan SincronizadorKenanCvpn.java:969][Ejecuto query para traer cuentas]
[2008Mar18 17:37:28,029][DEBUG][getListaDeCuentasKenan SincronizadorKenanCvpn.java:1000][Trajo las cuentas válidas en Kenan]
[2008Mar18 17:37:28,032][DEBUG][getListaDeCuentasKenan SincronizadorKenanCvpn.java:1002][Sale]
[2008Mar18 17:37:28,034][INFO ][sincronizarBDKenanConCvpn SincronizadorKenanCvpn.java:502][paso por la listaDeCuentasKenan]
[2008Mar18 17:37:29,053][DEBUG][getListaDeCuentasCvpn SincronizadorKenanCvpn.java:894][Entra]
[2008Mar18 17:37:33,133][DEBUG][getListaDeCuentasCvpn SincronizadorKenanCvpn.java:938][Sale]
[2008Mar18 17:37:33,136][INFO ][sincronizarBDKenanConCvpn SincronizadorKenanCvpn.java:506][paso por la listaDeCuentasCvpn]
[2008Mar18 17:37:34,151][INFO ][sincronizarBDKenanConCvpn SincronizadorKenanCvpn.java:514][antes de borrar las sobrantes]
[2008Mar18 17:37:34,700][INFO ][sincronizarBDKenanConCvpn SincronizadorKenanCvpn.java:521][antes sincronizar los GSM de las cuentas existentes]
[2008Mar18 17:37:35,724][DEBUG][sincronizarLosGsmsDeLasVpnsExistentes SincronizadorKenanCvpn.java:842][Entrando]
[2008Mar18 17:37:35,726][DEBUG][sincronizaLosGsms CuentaCvpn.java:256][Entrando]
[2008Mar18 17:37:35,729][DEBUG][sincronizaLosGsms CuentaCvpn.java:280][Sale]
[2008Mar18 17:37:35,730][DEBUG][sincronizaLosGsms CuentaCvpn.java:256][Entrando]
